Том,№,Субъект,,,Карта 27,Карта 28,Карта 29,Карта 30,Карта 31,Карта 32,Карта 33,Карта 34,Карта 35,Карта 36,Карта 37,Карта 38,Карта 39,Карта 40,Карта 41,Карта 42,Карта 43,Карта 44,Карта 45,Карта 46,Карта 47,Карта 48,Карта 49,Карта 50,Карта 51,Карта 52,Карта 53,Карта 54,Карта 55,Карта 56,Карта 57,Карта 58,Карта 59,Карта 60,Карта 61,Карта 62,Карта 63,Карта 64,Карта 65,Карта 66,Карта 67,Карта 68
2,316,16,с,Татарская Тумбарла,2,1,1,1,1,1,2,3,3,11,3,1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,8,1,1,1,2,2,1,6,1,2,1,1,1,1,1,1
2,194,16,с,Новое Алимово,2,1,1,1,1,1,2,3,1,11,3,1,1,1,4,1,2,7,1,1,1,2,1,1,1,3,1,1,1,1,7,2,1,1,1,1,2,8,1,1,1,1
2,311,16,с,Кзыл-Яр,2,1,1,1,1,1,2,3,3,11,1,1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,8,1,1,1,2,2,1,6,1,2,1,1,1,1,1,1
2,303,16,с,Сарабикулово,1,1,9,7,1,1,3,3,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,1,8,1,1,1,3,1,1,1,1
2,301,16,с,Федотовка,1,1,9,2,1,1,3,2,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,7,7,3,1,8,1,1,1,2,2,1,1,1
2,310,16,с,Акбаш,2,1,1,1,1,1,2,3,1,11,1,1,1,1,4,1,2,1,1,1,1,2,1,1,1,1,8,1,1,8,8,2,1,6,1,3,8,8,1,1,1,1
2,305,16,с,Дым-Тамак,2,1,1,1,1,1,2,3,1,11,1,1,1,1,4,1,2,1,1,1,1,2,1,1,1,1,8,1,1,8,8,2,1,6,1,3,8,8,1,1,1,1
2,302,16,с,Нижние Чершилы,1,1,9,2,1,1,3,6,1,11,1,3,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,7,7,3,1,8,1,1,1,8,3,1,1,1
2,21,16,с,Иж-Бобья,2,1,1,1,1,1,2,2,1,11,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,8,1,1,1,2,2,1,6,1,1,2,8,1,1,1,1
1,145,16,с,Янчиково,2,1,1,1,1,1,2,1,1,11,1,1,1,1,1,1,1,7,1,1,1,1,1,8,1,1,1,8,1,1,7,3,1,7,1,1,2,1,1,1,1,1
