Том,№,Субъект,,,Карта 1,Карта 2,Карта 3,Карта 4,Карта 5,Карта 6,Карта 7,Карта 8,Карта 9,Карта 10,Карта 11,Карта 12,Карта 13,Карта 14,Карта 15,Карта 16,Карта 17,Карта 18,Карта 19,Карта 20,Карта 21,Карта 22,Карта 23,Карта 24,Карта 25,Карта 26
2,142,16,с,Ляки,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
2,144,16,с,Средний Багряж,1,1,1,1,3,1,1,1,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
2,137,16,д,Кабан-Бастрык,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,6,1,1,1
2,132,16,с,Кадырово,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,6,1,1
2,133,16,с,Бурды,1,1,1,1,3,1,1,1,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
2,131,16,д,Средние Пинячи,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
2,124,16,с,Мелекес,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
2,123,16,с,Верхний Такермен,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,1,6,1,1,1
2,119,16,с,Калмия,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,115,16,д,Мунайка,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
2,110,16,,Рысово,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,11,1,1,1,4,1,6,2,2,1,1
2,128,16,,Верхнее Абдулово,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
1,3,16,с,Янга-Аул,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,8,1,1,1
1,165,16,п,Ерыклинский,2,4,2,1,1,2,2,1,1,1,1,1,1,1,1,2,11,2,1,12,12,10,1,1,2,2
